ident;name;latitude_deg;longitude_deg;elevation_ft
KDAL;Dallas Love Field;32,8470993;-96,85179901;487
KDAY;James M Cox Dayton International Airport;39,90240097;-84,2193985;1009
KDBQ;Dubuque Regional Airport;42,40200043;-90,70950317;1077
KDCA;Ronald Reagan Washington National Airport;38,85210037;-77,03769684;15
KDEN;Denver International Airport;39,86169815;-104,6729965;5431
KDFW;Dallas Fort Worth International Airport;32,89680099;-97,03800201;607
KDLF;Laughlin Air Force Base;29,35950089;-100,7779999;1082
KDLH;Duluth International Airport;46,84209824;-92,19360352;1428
KDOV;Dover Air Force Base;39,12950134;-75,46600342;24
KDSM;Des Moines International Airport;41,5340004;-93,6631012;958
KDTW;Detroit Metropolitan Wayne County Airport;42,21239853;-83,35340118;645
KDYS;Dyess Air Force Base;32,42079926;-99,854599;1789
KEDW;Edwards Air Force Base;34,90539932;-117,8840027;2312
KEND;Vance Air Force Base;36,33919907;-97,91649628;1307
KERI;Erie International Tom Ridge Field;42,08312701;-80,17386675;732
KEWR;Newark Liberty International Airport;40,69250107;-74,16870117;18
KFFO;Wright-Patterson Air Force Base;39,8260994;-84,0483017;823
KFLL;Fort Lauderdale Hollywood International Airport;26,07259941;-80,15270233;9
KFSM;Fort Smith Regional Airport;35,33660126;-94,36740112;469
KFTW;Fort Worth Meacham International Airport;32,81980133;-97,36239624;710
KFWA;Fort Wayne International Airport;40,97850037;-85,19509888;814
KGEG;Spokane International Airport;47,61989975;-117,5339966;2376
KGPT;Gulfport Biloxi International Airport;30,40730095;-89,07009888;28
KGRB;Austin Straubel International Airport;44,48509979;-88,12960052;695
KGSB;Seymour Johnson Air Force Base;35,33940125;-77,96060181;109
KGSO;Piedmont Triad International Airport;36,09780121;-79,93730164;925
KGSP;Greenville Spartanburg International Airport;34,89569855;-82,21890259;964
KGUS;Grissom Air Reserve Base;40,64810181;-86,15209961;812
KHIB;Range Regional Airport;47,38660049;-92,83899689;1354
KHMN;Holloman Air Force Base;32,85250092;-106,1070023;4093
KHOU;William P Hobby Airport;29,64539909;-95,27890015;46
KHSV;Huntsville International Carl T Jones Field;34,6371994;-86,77510071;629
KHTS;Tri-State/Milton J. Ferguson Field;38,36669922;-82,55799866;828
KIAD;Washington Dulles International Airport;38,94449997;-77,45580292;312
KIAH;George Bush Intercontinental Houston Airport;29,9843998;-95,34140015;97
KICT;Wichita Mid Continent Airport;37,64989853;-97,43309784;1333
KIND;Indianapolis International Airport;39,71730042;-86,29440308;797
KJAN;Jackson-Medgar Wiley Evers International Airport;32,31119919;-90,07589722;346
KJAX;Jacksonville International Airport;30,49410057;-81,68789673;30
KJFK;John F Kennedy International Airport;40,63980103;-73,77890015;13
KJLN;Joplin Regional Airport;37,15179825;-94,49829865;981
KLAS;McCarran International Airport;36,08010101;-115,1520004;2181
KLAX;Los Angeles International Airport;33,94250107;-118,4079971;125
KLBB;Lubbock Preston Smith International Airport;33,66360092;-101,822998;3282
KLCK;Rickenbacker International Airport;39,81380081;-82,92780304;744
KLEX;Blue Grass Airport;38,03649902;-84,60590363;979
KLFI;Langley Air Force Base;37,082901;-76,36049652;11
KLFT;Lafayette Regional Airport;30,20529938;-91,98760223;42
KLGA;La Guardia Airport;40,77719879;-73,87259674;21
KLIT;Bill & Hillary Clinton National Airport/Adams Field;34,72940063;-92,22429657;262
KLTS;Altus Air Force Base;34,667099;-99,26670074;1382
KLUF;Luke Air Force Base;33,53499985;-112,3830032;1085
KMBS;MBS International Airport;43,53290176;-84,07959747;668
KMCF;Mac Dill Air Force Base;27,84930038;-82,52120209;14
KMCI;Kansas City International Airport;39,29759979;-94,71389771;1026
KMCO;Orlando International Airport;28,42939949;-81,30899811;96
KMDW;Chicago Midway International Airport;41,7859993;-87,75240326;620
KMEM;Memphis International Airport;35,04240036;-89,97669983;341
KMGE;Dobbins Air Reserve Base;33,91540146;-84,51629639;1068
KMGM;Montgomery Regional (Dannelly Field) Airport;32,30059814;-86,39399719;221
KMHT;Manchester Airport;42,93259811;-71,43569946;266
KMIA;Miami International Airport;25,79319954;-80,29060364;8
KMKE;General Mitchell International Airport;42,94720078;-87,89659882;723
KMLI;Quad City International Airport;41,44850159;-90,50749969;590
KMLU;Monroe Regional Airport;32,51089859;-92,03769684;79
KMOB;Mobile Regional Airport;30,69120026;-88,24279785;219
KMSN;Dane County Regional Truax Field;43,13990021;-89,33750153;887
KMSP;Minneapolis-St Paul International/Wold-Chamberlain Airport;44,88199997;-93,22180176;841
KMSY;Louis Armstrong New Orleans International Airport;29,99340057;-90,25800323;4
KMUO;Mountain Home Air Force Base;43,04359818;-115,8720016;2996
KOAK;Metropolitan Oakland International Airport;37,72129822;-122,2210007;9
KOKC;Will Rogers World Airport;35,39310074;-97,60070038;1295
KONT;Ontario International Airport;34,05599976;-117,6009979;944
KORD;Chicago O'Hare International Airport;41,97859955;-87,90480042;672
KORF;Norfolk International Airport;36,89459991;-76,20120239;26
KPAM;Tyndall Air Force Base;30,06959915;-85,57540131;17
KPBI;Palm Beach International Airport;26,68320084;-80,09559631;19
KPDX;Portland International Airport;45,58869934;-122,5979996;31
KPHF;Newport News Williamsburg International Airport;37,13190079;-76,49299622;42
KPHL;Philadelphia International Airport;39,87189865;-75,2410965;36
KPHX;Phoenix Sky Harbor International Airport;33,43429947;-112,012001;1135
KPIA;General Wayne A. Downing Peoria International Airport;40,66419983;-89,69329834;660
KPIT;Pittsburgh International Airport;40,49150085;-80,23290253;1203
KPWM;Portland International Jetport Airport;43,64619827;-70,30930328;76
KRDU;Raleigh Durham International Airport;35,87760162;-78,78749847;435
KRFD;Chicago Rockford International Airport;42,19540024;-89,09719849;742
KRIC;Richmond International Airport;37,50519943;-77,31970215;167
KRND;Randolph Air Force Base;29,52969933;-98,27890015;761
KRNO;Reno Tahoe International Airport;39,49909973;-119,7679977;4415
KROA;Roanoke–Blacksburg Regional Airport;37,32550049;-79,97540283;1175
KROC;Greater Rochester International Airport;43,1189003;-77,67240143;559
KRST;Rochester International Airport;43,90829849;-92,5;1317
KRSW;Southwest Florida International Airport;26,53619957;-81,75520325;30
KSAN;San Diego International Airport;32,73360062;-117,1900024;17
KSAT;San Antonio International Airport;29,53370094;-98,46980286;809
KSAV;Savannah Hilton Head International Airport;32,12760162;-81,20210266;50
KSBN;South Bend Regional Airport;41,70869827;-86,31729889;799
KSDF;Louisville International Standiford Field;38,17440033;-85,73600006;501
KSEA;Seattle Tacoma International Airport;47,44900131;-122,3089981;433
KSFB;Orlando Sanford International Airport;28,77759933;-81,23750305;55
KSFO;San Francisco International Airport;37,61899948;-122,375;13
KSGF;Springfield Branson National Airport;37,24570084;-93,38860321;1268
KSHV;Shreveport Regional Airport;32,44660187;-93,82559967;258
KSJC;Norman Y. Mineta San Jose International Airport;37,36259842;-121,9290009;62
KSKA;Fairchild Air Force Base;47,61510086;-117,6559982;2461
KSLC;Salt Lake City International Airport;40,78839874;-111,9779968;4227
KSMF;Sacramento International Airport;38,69540024;-121,5910034;27
KSNA;John Wayne Airport-Orange County Airport;33,67570114;-117,8679962;56
KSPI;Abraham Lincoln Capital Airport;39,84410095;-89,67790222;598
KSPS;Sheppard Air Force Base-Wichita Falls Municipal Airport;33,98880005;-98,49189758;1019
KSRQ;Sarasota Bradenton International Airport;27,39539909;-82,55439758;30
KSSC;Shaw Air Force Base;33,97269821;-80,47059631;241
KSTL;Lambert St Louis International Airport;38,74869919;-90,37000275;618
KSUS;Spirit of St Louis Airport;38,66210175;-90,65200043;463
KSUU;Travis Air Force Base;38,26269913;-121,927002;62
KSUX;Sioux Gateway Col. Bud Day Field;42,40259933;-96,38439941;1098
KSYR;Syracuse Hancock International Airport;43,11119843;-76,10630035;421
KSZL;Whiteman Air Force Base;38,7303009;-93,54789734;870
KTCM;McChord Air Force Base;47,13769913;-122,4759979;322
KTIK;Tinker Air Force Base;35,41469955;-97,38659668;1291
KTLH;Tallahassee Regional Airport;30,39649963;-84,35030365;81
KTOL;Toledo Express Airport;41,58679962;-83,80780029;683
KTPA;Tampa International Airport;27,97550011;-82,53320313;26
KTRI;Tri Cities Regional Tn Va Airport;36,47520065;-82,40740204;1519
KTUL;Tulsa International Airport;36,19839859;-95,88809967;677
KTUS;Tucson International Airport;32,11610031;-110,9410019;2643
KTYS;McGhee Tyson Airport;35,81100082;-83,9940033;981
KVBG;Vandenberg Air Force Base;34,73730087;-120,5839996;369
KVPS;Eglin Air Force Base;30,48320007;-86,52539825;87
KWRB;Robins Air Force Base;32,64009857;-83,59190369;294
LATI;Tirana International Airport Mother Teresa;41,41469955;19,72060013;126
LBBG;Burgas Airport;42,56959915;27,51519966;135
LBPD;Plovdiv International Airport;42,06779861;24,85079956;597
LBSF;Sofia Airport;42,69669342;23,41143608;1742
LBWN;Varna Airport;43,23210144;27,82509995;230
LCLK;Larnaca International Airport;34,87509918;33,62490082;8
LCPH;Paphos International Airport;34,7179985;32,4856987;41
LDZA;Zagreb Airport;45,74290085;16,06879997;353
LEAL;Alicante International Airport;38,28219986;-0,558156013;142
LEBL;Barcelona International Airport;41,29710007;2,078459978;12
LEMD;Adolfo Suárez Madrid–Barajas Airport;40,4936;-3,56676;1998
LEMG;Málaga Airport;36,67490005;-4,499110222;53
LEPA;Palma De Mallorca Airport;39,55170059;2,738810062;27
LEST;Santiago de Compostela Airport;42,89630127;-8,415140152;1213
LFBD;Bordeaux-Mérignac Airport;44,82830048;-0,715556026;162
LFBO;Toulouse-Blagnac Airport;43,6291008;1,363819957;499
LFML;Marseille Provence Airport;43,43927192;5,221424103;74
LFMN;Nice-Côte d'Azur Airport;43,65840149;7,215869904;12
LFOA;Avord (BA 702) Air Base;47,05329895;2,632499933;580
LFPG;Charles de Gaulle International Airport;49,01279831;2,549999952;392
LFPO;Paris-Orly Airport;48,72529984;2,359440088;291
LFSB;EuroAirport Basel-Mulhouse-Freiburg Airport;47,58959961;7,529910088;885
LGAV;Eleftherios Venizelos International Airport;37,93640137;23,94449997;308
LGIR;Heraklion International Nikos Kazantzakis Airport;35,33969879;25,18029976;115
LGTS;Thessaloniki Macedonia International Airport;40,5196991;22,97089958;22
LHBP;Budapest Ferenc Liszt International Airport;47,43690109;19,25559998;495
LIBD;Bari Karol Wojtyła Airport;41,13890076;16,76059914;177
LICC;Catania-Fontanarossa Airport;37,46680069;15,06639957;39
LICJ;Falcone–Borsellino Airport;38,17599869;13,0909996;65
LIEE;Cagliari Elmas Airport;39,25149918;9,054280281;13
LIMC;Malpensa International Airport;45,63059998;8,728110313;768
LIME;Il Caravaggio International Airport;45,6739006;9,704170227;782
LIMF;Turin Airport;45,20080185;7,64963007;989
LIMJ;Genoa Cristoforo Colombo Airport;44,41329956;8,837499619;13
LIML;Linate Airport;45,44509888;9,276740074;353
LIMZ;Cuneo International Airport;44,54700089;7,623219967;1267
LIPE;Bologna Guglielmo Marconi Airport;44,53540039;11,2887001;123
LIPH;Treviso-Sant'Angelo Airport;45,64839935;12,19439983;59
LIPX;Verona Villafranca Airport;45,39569855;10,88850021;239
LIPZ;Venice Marco Polo Airport;45,50529861;12,3519001;7
LIRA;Ciampino–G. B. Pastine International Airport;41,79940033;12,59490013;427
LIRF;Leonardo da Vinci–Fiumicino Airport;41,80450058;12,25080013;15
LIRN;Naples International Airport;40,88600159;14,29080009;294
LIRP;Pisa International Airport;43,68389893;10,3927002;6
LJLJ;Ljubljana Jože Pučnik Airport;46,22370148;14,45759964;1273
LKPR;Ruzyně International Airport;50,10079956;14,26000023;1247
LLBG;Ben Gurion International Airport;32,01139832;34,88669968;135
LLOV;Ovda International Airport;29,94029999;34,93579865;1492
LMML;Malta International Airport;35,857498;14,4775;300
LOWW;Vienna International Airport;48,11029816;16,56970024;600
LPFR;Faro Airport;37,01440048;-7,965909958;24
LPLA;Lajes Field;38,76179886;-27,09079933;180
LPPD;João Paulo II Airport;37,74119949;-25,69790077;259
LPPR;Francisco de Sá Carneiro Airport;41,24810028;-8,681389809;228
LPPT;Lisbon Portela Airport;38,78129959;-9,135919571;374
LQSA;Sarajevo International Airport;43,82460022;18,3314991;1708
LROP;Henri Coandă International Airport;44,57220078;26,10219955;314
LSGG;Geneva Cointrin International Airport;46,23809814;6,108950138;1411
LSZH;Zürich Airport;47,46469879;8,54916954;1416
LTAC;Esenboğa International Airport;40,12810135;32,99509811;3125
LTAF;Adana Airport;36,98220062;35,28039932;65
LTAI;Antalya International Airport;36,89870071;30,80050087;177
LTAJ;Gaziantep International Airport;36,94720078;37,47869873;2315
LTAZ;Nevşehir Kapadokya International Airport;38,77190018;34,53450012;3100
